symbol,marketcapname,market_cap,industry,sector
GROWWSLVR,smallcap,0,indices,indices
AONENIFTY,smallcap,0,indices,indices
BIRLANU,smallcap,980.62,cement products,building materials
SHALPAINTS,smallcap,421.23,paints / varnishes,building materials
SASKEN,smallcap,3551.36,computers - software - medium / small,i.t
AURIONPRO,smallcap,4571.13,computers - software - medium / small,i.t
BASML,smallcap,199.16,textiles - cotton/blended,textiles
ALGOQUANT,smallcap,1565.99,finance & investments,financials
REPRO,smallcap,497.42,printing & stationery,miscellaneous
NITINSPIN,smallcap,2852.04,textiles - cotton/blended,textiles
ARIS,smallcap,945.65,trading,services
GVKPIL,smallcap,469.03,engineering - turnkey services,realty
IVC,smallcap,254.99,finance & investments,financials
SAKUMA,smallcap,310.41,trading,services
INDOTECH,smallcap,2891.61,electric equipment,industrials
RAYMONDREL,smallcap,3868.6,construction,realty
ELLEN,smallcap,0,indices,n/a
VISACHROME,smallcap,793.09,mining / minerals / metals,metals & mining
SGL,smallcap,32.31,textiles - processing,textiles
VAKRANGEE,smallcap,702.99,computers - software - medium / small,i.t
IGCL,smallcap,366.45,pesticides / agrochemicals - indian,chemicals
LOKESHMACH,smallcap,497.82,engineering,industrials
DCMFINSERV,smallcap,13.1,finance & investments,financials
GAYAPROJ,smallcap,610.47,construction,realty
SAMBHAAV,smallcap,126.52,entertainment / electronic media software,media
SHIVAMAUTO,smallcap,227.62,auto ancillaries,auto
PARSVNATH,smallcap,167.98,construction,realty
RUCHIRA,smallcap,344.59,paper,building materials
MUTHOOTCAP,smallcap,326.6,finance & investments,financials
CAMLINFINE,smallcap,2272.25,chemicals,chemicals
DISHTV,smallcap,585.52,entertainment / electronic media software,media
TGBHOTELS,smallcap,26.45,hotels,services
INSECTICID,smallcap,2123.56,pesticides / agrochemicals - indian,chemicals
ABANSENT,smallcap,179.25,trading,services
CHEMBONDCH,smallcap,475.48,chemicals,chemicals
SUNTECK,smallcap,4231.25,construction,realty
TARMAT,smallcap,130.21,construction,realty
HDIL,smallcap,91.48,construction,realty
ALPA,smallcap,146.65,pharmaceuticals - indian - bulk drugs & formln,healthcare
MMWL,smallcap,1528.07,entertainment / electronic media software,media
NAGREEKCAP,smallcap,35.29,finance & investments,financials
UMAEXPORTS,smallcap,85.17,trading,services
PAISALO,smallcap,4792.27,finance & investments,financials
MAANALU,smallcap,771.23,aluminium and aluminium products,metals & mining
HARIOMPIPE,smallcap,1235.13,steel - medium / small,metals & mining
