symbol,marketcapname,market_cap,industry,sector
NITTAGELA,smallcap,1490.8,chemicals,chemicals
INDSWFTLAB,smallcap,1407.62,pharmaceuticals - indian - bulk drugs & formln,healthcare
UNICHEMLAB,smallcap,2569.11,pharmaceuticals - indian - bulk drugs & formln,healthcare
INTENTECH,smallcap,225.57,computers - software - medium / small,i.t
CURAA,smallcap,87.12,computers - software - medium / small,i.t
COMPUSOFT,smallcap,107.21,computers - education,i.t
GUJTHEM,smallcap,4304.13,pharmaceuticals - indian - bulk drugs,healthcare
IFBAGRO,smallcap,916.76,breweries & distilleries,fmcg
FOODSIN,smallcap,418.25,food - processing - indian,fmcg
PNC,smallcap,28.91,entertainment / electronic media software,media
CREATIVEYE,smallcap,13.36,entertainment / electronic media software,media
TTKHLTCARE,smallcap,1306.35,diversified - medium / small,miscellaneous
TAINWALCHM,smallcap,183.6,trading,services
NEXTMEDIA,smallcap,26.76,entertainment / electronic media software,media
APTECHT,smallcap,604.27,computers - education,i.t
BLIL,smallcap,1601.98,finance & investments,financials
EVERESTIND,smallcap,600.77,cement products,building materials
AYMSYNTEX,smallcap,1312.9,textiles - processing,textiles
TVTODAY,smallcap,675.15,entertainment / electronic media software,media
DWARKESH,smallcap,821.07,sugar,fmcg
GRPLTD,smallcap,963.04,miscellaneous,fmcg
XCHANGING,smallcap,744.62,computers - software - medium / small,i.t
TVSSRICHAK,smallcap,3028.52,tyres,auto
3IINFOLTD,smallcap,360.88,computers - software - medium / small,i.t
NDL,smallcap,358.93,textiles - products,textiles
BORANA,smallcap,860.51,textiles - processing,textiles
INDIANCARD,smallcap,129.19,textiles - products,textiles
NECLIFE,smallcap,233.31,pharmaceuticals - indian - bulk drugs & formln,healthcare
VIVIMEDLAB,smallcap,53.48,pharmaceuticals - indian - bulk drugs & formln,healthcare
THACKER,smallcap,156.11,diversified - medium / small,miscellaneous
JINDRILL,smallcap,1758.86,oil drilling / allied services,energy
AEROENTER,smallcap,1088.44,steel - medium / small,metals & mining
ASMS,smallcap,229.96,computers - software - medium / small,i.t
ROHLTD,smallcap,908.73,hotels,services
JAGRAN,smallcap,1675.72,entertainment / electronic media software,media
SADBHAV,smallcap,161.45,construction,realty
VLSFINANCE,smallcap,718.51,finance & investments,financials
NITCO,smallcap,2358.74,trading,building materials
RSYSTEMS,smallcap,3226.98,computers - software - medium / small,i.t
KAMDHENU,smallcap,666.37,steel - medium / small,metals & mining
TEAMGTY,smallcap,224.87,finance & investments,financials
ATLANTAA,smallcap,338.55,engineering - turnkey services,realty
AVONMORE,smallcap,291.21,finance & investments,financials
ICDSLTD,smallcap,56.81,diversified - medium / small,miscellaneous
ARIHANTCAP,smallcap,723.55,finance & investments,financials
GEECEE,smallcap,678.48,construction,realty
GLOBALVECT,smallcap,233.8,transport - airlines,transportation
SUTLEJTEX,smallcap,584.21,textiles - cotton/blended,textiles
AUTOIND,smallcap,351.66,auto ancillaries,auto
CTE,smallcap,64.68,computers - software - medium / small,i.t
AGSTRA,smallcap,31.59,miscellaneous,miscellaneous
MASTERTR,smallcap,999.87,finance & investments,financials
ZSARACOM,smallcap,1043.49,finance & investments,financials
RAJTV,smallcap,80.21,entertainment / electronic media software,media
ICRA,smallcap,4973.76,miscellaneous,financials
SAHYADRI,smallcap,318.76,cement products,building materials
HILTON,smallcap,102.78,castings & forgings,industrials
ANKITMETAL,smallcap,21.87,steel - medium / small,metals & mining
KNAGRI,smallcap,467.48,solvent extraction,fmcg
REFEX,smallcap,4348.53,trading,services
ASIANTILES,smallcap,1807.91,ceramics - tiles / sanitaryware,building materials
INDIQUBE,smallcap,3339.39,miscellaneous,co-working
MAGNUM,smallcap,137.85,paper,building materials
CCCL,smallcap,670.59,construction,realty
STARTECK,smallcap,265.25,finance & investments,financials
IL&FSENGG,smallcap,364.39,construction,realty
BGRENERGY,smallcap,2448.44,engineering - turnkey services,realty
DONEAR,smallcap,485.37,textiles - processing,textiles
PPAP,smallcap,291.5,auto ancillaries,auto
ONMOBILE,smallcap,542.98,telecommunications - service provider,telecom-service
ORBTEXP,smallcap,473.86,textiles - processing,textiles
BIRLAMONEY,smallcap,784.07,finance & investments,financials
VENUSPIPES,smallcap,2939.2,steel - medium / small,metals & mining
BAFNAPH,smallcap,343.99,pharmaceuticals - indian - formulations,healthcare
SEJALLTD,smallcap,881.28,glass & glass products,building materials
SSWL,smallcap,3294.34,auto ancillaries,auto
LOTUSEYE,smallcap,225.37,healthcare,healthcare
NORBTEAEXP,smallcap,128.78,tea,fmcg
ALKALI,smallcap,99.65,chemicals,chemicals
HILINFRA,smallcap,0,indices,n/a
MOLDTKPAC,smallcap,2349.45,packaging,industrials
ROML,smallcap,70.19,solvent extraction,fmcg
KALYANIFRG,smallcap,220.1,castings & forgings,industrials
EXPLEOSOL,smallcap,1403.84,computers - software - medium / small,i.t
STEELCAS,smallcap,2767.82,castings & forgings,industrials
REGAAL,smallcap,871.61,miscellaneous,miscellaneous
TEXMOPIPES,smallcap,125.28,plastics products,plastic products
MANINFRA,smallcap,4775.37,construction,realty
IL&FSTRANS,smallcap,75.99,engineering - turnkey services,realty
ISFT,smallcap,139.43,miscellaneous,i.t
GEMAROMA,smallcap,784.92,chemicals,chemicals
HIMATSEIDE,smallcap,972.87,textiles - products,textiles
SURYALA,smallcap,197.43,textiles - spinning - synthetic / blended,textiles
HMVL,smallcap,548.04,entertainment / electronic media software,media
MEIL,smallcap,890.52,electric equipment,industrials
VARDMNPOLY,smallcap,334.25,textiles - cotton/blended,textiles
WELINV,smallcap,679.37,finance & investments,financials
VGL,smallcap,344.73,textiles - cotton/blended,textiles
AHCL,smallcap,72.45,chemicals,chemicals
BEDMUTHA,smallcap,369.78,mining / minerals / metals,metals & mining
A2ZINFRA,smallcap,253.26,engineering - turnkey services,realty
AMANTA,smallcap,447.78,pharmaceuticals - indian - bulk drugs & formln,healthcare
FMNL,smallcap,69.37,miscellaneous,miscellaneous
BFINVEST,smallcap,1641.37,finance & investments,financials
TEXRAIL,smallcap,4239.12,engineering,industrials
DEVX,smallcap,332.52,miscellaneous,co-working
DELPHIFX,smallcap,197.93,finance & investments,financials
SHREYANIND,smallcap,199.81,paper,building materials
NRAIL,smallcap,783.98,paper,building materials
VMSTMT,smallcap,230.39,steel - medium / small,metals & mining
VINDHYATEL,smallcap,2509.89,construction,realty
ARSSBL,smallcap,3363.01,finance & investments,financials
CHEMCON,smallcap,672.83,chemicals,chemicals
SALZERELEC,smallcap,1137.09,electric equipment,industrials
TIJARIA,smallcap,12.48,plastics products,plastic products
GPTINFRA,smallcap,1468.99,construction,realty
TERASOFT,smallcap,538.14,computers - software - medium / small,i.t
DIGISPICE,smallcap,466.13,computers - software - medium / small,i.t
HEXATRADEX,smallcap,890.16,finance & investments,financials
GIPCL,smallcap,2697.03,power generation and supply,power & utilities
MINDTECK,smallcap,687.4,computers - software - medium / small,i.t
SAMPANN,smallcap,130.81,miscellaneous,fmcg
PACEDIGITK,smallcap,4160.1,engineering - turnkey services,telecom
RVHL,smallcap,222.92,construction,realty
AWHCL,smallcap,1314.52,miscellaneous,miscellaneous
DUCON,smallcap,110.47,engineering - turnkey services,realty
GLOTTIS,smallcap,589.35,miscellaneous,transportation
INDIGOPNTS,smallcap,4657.91,paints / varnishes,building materials
STOVEKRAFT,smallcap,2062.26,domestic appliances,consumer discretionary
TRACXN,smallcap,338.57,computers - software - medium / small,i.t
ZUARI,smallcap,928.35,fertilizers,chemicals
ROTO,smallcap,1055.67,pumps,industrials
RAJRATAN,smallcap,2108.52,steel - medium / small,metals & mining
SMCGLOBAL,smallcap,1261.84,finance & investments,financials
PVP,smallcap,774.7,construction,realty
DRCSYSTEMS,smallcap,213.96,computers - software - medium / small,i.t
APCL,smallcap,358.87,cement - south india,building materials
EASEMYTRIP,smallcap,2527.61,travel agencies,i.t
CRAMC,smallcap,4987.83,finance & investments,financials
SREEL,smallcap,464.56,trading,consumer discretionary
MIDWESTLTD,smallcap,4551.56,miscellaneous,consumer discretionary
SULA,smallcap,1336.88,breweries & distilleries,fmcg
HAVISHA,smallcap,22.88,hotels,services
ELIN,smallcap,552.02,electronics - components,consumer discretionary
HERITGFOOD,smallcap,2996.85,food - processing - indian,fmcg
JPOLYINVST,smallcap,1049.3,finance & investments,financials
STUDDS,smallcap,1772.67,plastics products,plastic products
MUNJALSHOW,smallcap,508.98,auto ancillaries,auto
MUNJALAU,smallcap,868.7,auto ancillaries,auto
SMALL250,smallcap,0,indices,indices
AERONEU,smallcap,227.11,packaging,industrials
TATVA,smallcap,2840.73,chemicals,chemicals
TRANSWORLD,smallcap,361.53,shipping,transportation
RACE,smallcap,197.3,trading,services
GCSL,smallcap,1003.34,finance & investments,financials
NPST,smallcap,2775.85,computers - software - medium / small,i.t
WINDLAS,smallcap,1714.46,pharmaceuticals - indian - formulations,healthcare
EPIGRAL,smallcap,4915.96,chemicals,chemicals
KAMOPAINTS,smallcap,171.41,trading,metals & mining
SIKKO,smallcap,177.78,pesticides / agrochemicals - indian,chemicals
PARASPETRO,smallcap,66.18,textiles - manmade,textiles
VIDYAWIRES,smallcap,2321.75,electric equipment,industrials
WAKEFIT,smallcap,4002.5,textiles - jute - yarn / products,textiles
ASHIKA,smallcap,0,indices,n/a
NIFTYADD,smallcap,0,indices,n/a
GUJAPOLLO,smallcap,504.92,engineering,industrials
MMFL,smallcap,2136.7,castings & forgings,industrials
RAJOOENG,smallcap,972.89,engineering,industrials
CONTROLPR,smallcap,976.45,computers - hardware,i.t
SHEMAROO,smallcap,302.96,entertainment / electronic media software,media
NIFTYBETA,smallcap,0,indices,n/a
PDSL,smallcap,4268.72,trading,textiles
CEINSYS,smallcap,1991.38,computers - software - medium / small,i.t
VENKEYS,smallcap,2041.4,miscellaneous,fmcg
ELDEHSG,smallcap,755.13,construction,realty
DCMSRIND,smallcap,320.48,sugar,fmcg
AMBICAAGAR,smallcap,40.69,chemicals,chemicals
MAPMYINDIA,smallcap,4521.07,computers - software - medium / small,i.t
NRL,smallcap,452.89,trading,services
FEL,smallcap,19.11,trading,consumer discretionary
MCLOUD,smallcap,1519.2,computers - software - medium / small,i.t
MAHEPC,smallcap,327.68,plastics products,plastic products
MERCANTILE,smallcap,297.93,miscellaneous,miscellaneous
SIMPLEXINF,smallcap,1882.07,construction,realty
ABSL10BANK,smallcap,0,indices,indices
POLYPLEX,smallcap,2937.71,packaging,industrials
CARYSIL,smallcap,3167.08,domestic appliances,consumer discretionary
IMAGICAA,smallcap,2531.1,recreation / amusement parks,media
RSL,smallcap,1051.11,steel - medium / small,metals & mining
GSPCROP,smallcap,1984.72,pesticides / agrochemicals - indian,chemicals
ELGIRUBCO,smallcap,236.89,miscellaneous,fmcg
HSBCGOLD,smallcap,0,indices,indices
ASPINWALL,smallcap,190.93,diversified - medium / small,miscellaneous
BCLIND,smallcap,955.15,breweries & distilleries,fmcg
BODALCHEM,smallcap,911.46,dyes and pigments,chemicals
PKTEA,smallcap,241.51,tea,fmcg
BIOFILCHEM,smallcap,55.93,trading,healthcare
NBIFIN,smallcap,552.14,finance & investments,financials
AAREYDRUGS,smallcap,214.36,pharmaceuticals - indian - bulk drugs,healthcare
UNITEDTEA,smallcap,264.27,tea,fmcg
VRLLOG,smallcap,4226.65,miscellaneous,transportation
VARDHACRLC,smallcap,353.84,textiles - manmade,textiles
MEP,smallcap,16.51,construction,realty
VLEGOV,smallcap,147.93,computers - software - medium / small,i.t
GANGESSECU,smallcap,120.64,finance & investments,financials
VPRPL,smallcap,449.09,construction,realty
PALASHSECU,smallcap,96.1,finance & investments,financials
APEX,smallcap,1378.75,aquaculture,fmcg
RATNAVEER,smallcap,1225.11,steel - medium / small,metals & mining
RUDRA,smallcap,182.73,steel - medium / small,metals & mining
SHYAMCENT,smallcap,106.3,mining / minerals / metals,metals & mining
AKASH,smallcap,46.14,construction,realty
NGLFINE,smallcap,1639.96,pharmaceuticals - indian - bulk drugs,healthcare
BALPHARMA,smallcap,139.13,pharmaceuticals - indian - bulk drugs & formln,healthcare
ORTINGLOBE,smallcap,12.8,pharmaceuticals - indian - bulk drugs & formln,healthcare
GLOBE,smallcap,104.05,textiles - products,textiles
MVGJL,smallcap,757.23,diamond cutting / jewellery,consumer discretionary
UDS,smallcap,1203.48,miscellaneous,miscellaneous
VETO,smallcap,234.62,electric equipment,industrials
WEALTH,smallcap,997.63,finance & investments,financials
SAGARDEEP,smallcap,43.74,mining / minerals / metals,metals & mining
HALEOSLABS,smallcap,436.53,pharmaceuticals - indian - bulk drugs & formln,healthcare
JAIPURKURT,smallcap,60.27,textiles - products,textiles
GICL,smallcap,450.39,miscellaneous,transportation
AGROPHOS,smallcap,63.17,fertilizers,chemicals
ZOTA,smallcap,3959.54,pharmaceuticals - indian - bulk drugs & formln,healthcare
IRMENERGY,smallcap,1102.04,miscellaneous,energy
ENEXT50,smallcap,0,indices,indices
SALASAR,smallcap,1197.35,steel - medium / small,metals & mining
MANOMAY,smallcap,318.63,textiles - products,textiles
SHK,smallcap,1775.8,chemicals,chemicals
QUINT,smallcap,188.16,computers - software - medium / small,i.t
UNIVASTU,smallcap,279.55,construction,realty
LEXUS,smallcap,37.53,ceramics - tiles / sanitaryware,building materials
VAISHALI,smallcap,91.06,pharmaceuticals - indian - bulk drugs & formln,healthcare
PASHUPATI,smallcap,147.53,textiles - cotton/blended,textiles
CAPACITE,smallcap,1890.22,construction,realty
KAMATHOTEL,smallcap,531.97,hotels,services
RKEC,smallcap,81.13,construction,realty
CHEVIOT,smallcap,655.46,textiles - jute - yarn / products,textiles
IRIS,smallcap,539.71,computers - software - medium / small,i.t
CONFIPET,smallcap,2319.37,miscellaneous,miscellaneous
BANARBEADS,smallcap,71.27,glass & glass products,building materials
KPEL,smallcap,2416.89,engineering - turnkey services,realty
63MOONS,smallcap,2875.99,computers - software - medium / small,i.t
5PAISA,smallcap,1522.5,finance & investments,financials
SIMBHALS,smallcap,31.29,sugar,fmcg
21STCENMGM,smallcap,35.5,finance & investments,financials
IFGLEXPOR,smallcap,1401.64,refractories / intermediates,building materials
RBZJEWEL,smallcap,501.76,diamond cutting / jewellery,consumer discretionary
PDMJEPAPER,smallcap,801.47,paper,building materials
SPCENET,smallcap,202.11,trading,services
VENUSREM,smallcap,1886.48,pharmaceuticals - indian - formulations,healthcare
ICEMAKE,smallcap,1215.99,engineering,industrials
SHBAJRG,smallcap,163.06,steel - medium / small,metals & mining
ZODIAC,smallcap,435.49,engineering - turnkey services,realty
SHALBY,smallcap,1910.04,healthcare,healthcare
MEDIASSIST,smallcap,2737.79,miscellaneous,miscellaneous
MOKSH,smallcap,103.25,diamond cutting / jewellery,consumer discretionary
RSDFIN,smallcap,99.4,finance & investments,financials
PARAGMILK,smallcap,3016.14,food - processing - indian,fmcg
EPACK,smallcap,2104.81,air-conditioners,consumer discretionary
SEIL,smallcap,2984.62,miscellaneous,services
SOLEX,smallcap,1310.45,electric equipment,industrials
LAL,smallcap,132.83,textiles - processing,textiles
IWP,smallcap,220.32,miscellaneous,fmcg
PARKHOTELS,smallcap,2483.68,hotels,services
THEMISMED,smallcap,995.79,pharmaceuticals - indian - bulk drugs & formln,healthcare
HGINFRA,smallcap,3751.25,construction,realty
RPTECH,smallcap,3652.16,trading,services
BIGBLOC,smallcap,709.72,cement products,building materials
UNIINFO,smallcap,12.77,telecommunications - service provider,telecom-service
SABEVENTS,smallcap,9.16,entertainment / electronic media software,media
KOTHARIPRO,smallcap,435.9,trading,services
YASHO,smallcap,2613.98,chemicals,chemicals
AVG,smallcap,232.11,miscellaneous,transportation
ASIANENE,smallcap,1685.83,oil drilling / allied services,energy
JUNIPER,smallcap,4304.53,hotels,services
MITTAL,smallcap,43.95,trading,textiles
ORIENTBELL,smallcap,492.07,ceramics - tiles / sanitaryware,building materials
HARDWYN,smallcap,1242.58,trading,services
DHRUV,smallcap,53.83,miscellaneous,miscellaneous
RKSWAMY,smallcap,508.1,miscellaneous,miscellaneous
JGCHEM,smallcap,1689.9,chemicals,chemicals
INDOSTAR,smallcap,3666.9,finance & investments,financials
HEADSUP,smallcap,15.72,trading,consumer discretionary
MEGASTAR,smallcap,348.86,food - processing - indian,fmcg
SVLL,smallcap,753.53,miscellaneous,transportation
ASIANHOTNR,smallcap,1310.76,hotels,services
NGIL,smallcap,73.22,food - processing - indian,fmcg
NIFTY1,smallcap,0,indices,n/a
VEEDOL,smallcap,2473.69,chemicals,chemicals
ACCURACY,smallcap,85.67,miscellaneous,transportation
HISARMETAL,smallcap,77.3,steel - medium / small,metals & mining
GINNIFILA,smallcap,378.57,textiles - cotton/blended,textiles
GOODLUCK,smallcap,4387.15,steel - medium / small,metals & mining
SUPREME,smallcap,182.41,construction,realty
DISAQ,smallcap,1685.86,engineering,industrials
CENTEXT,smallcap,154.72,aluminium and aluminium products,metals & mining
KHAITANLTD,smallcap,62.13,trading,services
WHEELS,smallcap,3708.69,auto ancillaries,auto
ORISSAMINE,smallcap,2439.96,mining / minerals / metals,metals & mining
STERTOOLS,smallcap,842.1,fasteners,industrials
LAGNAM,smallcap,141.88,textiles - products,textiles
AKG,smallcap,35.78,trading,services
DHAMPURSUG,smallcap,892.9,sugar,fmcg
JNKINDIA,smallcap,2022.17,engineering - turnkey services,realty
KSHITIJPOL,smallcap,80.05,printing & stationery,miscellaneous
COCKERILL,smallcap,3749.53,engineering,industrials
CIFL,smallcap,949.09,finance & investments,financials
GANESHBE,smallcap,675.26,miscellaneous,miscellaneous
SILGO,smallcap,264.91,diamond cutting / jewellery,consumer discretionary
BCPL,smallcap,129.11,engineering - turnkey services,realty
GFLLIMITED,smallcap,510.25,finance & investments,financials
HINDOILEXP,smallcap,2271.81,oil drilling / allied services,energy
VIKASECO,smallcap,226.39,diversified - medium / small,miscellaneous
BOROSCI,smallcap,1347.28,glass & glass products,building materials
SHRIKRISH,smallcap,113.54,construction,realty
CONSOFINVT,smallcap,778.97,finance & investments,financials
MEDICAMEQ,smallcap,369.86,pharmaceuticals - indian - formulations,healthcare
RETAIL,smallcap,16.67,trading,consumer discretionary
DEEDEV,smallcap,4531.21,steel - medium / small,metals & mining
MAFATIND,smallcap,943.76,diversified - large,miscellaneous
MANALIPETC,smallcap,1024.26,petrochemicals,energy
CENTENKA,smallcap,1104,textiles - manmade,textiles
XTGLOBAL,smallcap,422.22,computers - software - medium / small,i.t
PRIMESECU,smallcap,944.63,finance & investments,financials
RAMANEWS,smallcap,435.04,miscellaneous,miscellaneous
WELSPLSOL,smallcap,2797.55,steel - medium / small,metals & mining
RRIL,smallcap,243.76,construction,realty
THOMASCOOK,smallcap,4326.09,travel agencies,miscellaneous
VHL,smallcap,1075.64,finance & investments,financials
MUKANDLTD,smallcap,2034.21,steel - medium / small,metals & mining
ARIHANT,smallcap,809.86,construction,realty
AXITA,smallcap,298.73,textiles - products,textiles
XELPMOC,smallcap,139.91,computers - software - medium / small,i.t
ANUP,smallcap,3746.49,engineering,industrials
NOCIL,smallcap,2737.04,chemicals,chemicals
ECOSMOBLTY,smallcap,769.8,miscellaneous,miscellaneous
AARTECH,smallcap,131.69,electric equipment,industrials
GALAPREC,smallcap,1153.77,fasteners,industrials
BLUECOAST,smallcap,61.01,hotels,services
OSIAHYPER,smallcap,62.11,trading,consumer discretionary
RAJESHEXPO,smallcap,3153.38,diamond cutting / jewellery,consumer discretionary
INDPRUD,smallcap,1089.3,finance & investments,financials
TOLINS,smallcap,399.24,tyres,auto
PAR,smallcap,110.09,pharmaceuticals - indian - bulk drugs,healthcare
COASTCORP,smallcap,322.7,aquaculture,fmcg
DGCONTENT,smallcap,157.34,entertainment / electronic media software,media
MANGLMCEM,smallcap,2314.31,cement - north india,building materials
NORTHARC,smallcap,4643.58,finance & investments,financials
SHREDIGCEM,smallcap,1079.45,cement - north india,building materials
ORIENTPPR,smallcap,379.6,paper,building materials
MANBA,smallcap,567.66,finance & investments,financials
LINCOLN,smallcap,1181.75,pharmaceuticals - indian - formulations,healthcare
DIFFNKG,smallcap,1205.69,electrodes - welding equipment,industrials
RUBYMILLS,smallcap,933.14,textiles - composite,textiles
SPANDANA,smallcap,2262.97,finance & investments,financials
GARUDA,smallcap,1594.92,engineering - turnkey services,realty
BANSWRAS,smallcap,425.09,textiles - spinning - synthetic / blended,textiles
BHAGCHEM,smallcap,3113.35,pesticides / agrochemicals - indian,chemicals
VISHWARAJ,smallcap,127.86,sugar,fmcg
MENNPIS,smallcap,275.86,auto ancillaries,auto
BBL,smallcap,3105.87,electric equipment,industrials
HIRECT,smallcap,3813.09,electronics - components,consumer discretionary
OCCLLTD,smallcap,565.29,chemicals,chemicals
NELCO,smallcap,1596.83,telecommunications - service provider,telecom
ATULAUTO,smallcap,1321.79,automobiles - scooters and 3 - wheelers,auto
UNIVCABLES,smallcap,4299.45,cables - power,industrials
HINDWAREAP,smallcap,1907.64,trading,consumer discretionary
RELTD,smallcap,2220.48,electric equipment,industrials
ARTEMISMED,smallcap,4288.52,healthcare,healthcare
INVPRECQ,smallcap,608.8,castings & forgings,industrials
KHANDSE,smallcap,28.62,finance & investments,financials
EIEL,smallcap,3291.89,engineering - turnkey services,realty
ZFSTEERING,smallcap,588.81,auto ancillaries,auto
LGHL,smallcap,1173.92,diamond cutting / jewellery,consumer discretionary
MANUGRAPH,smallcap,43.74,engineering,industrials
ANTGRAPHIC,smallcap,12.56,diversified - medium / small,miscellaneous
FILATFASH,smallcap,191.68,textiles - products,textiles
BONLON,smallcap,71.76,trading,services
3BBLACKBIO,smallcap,955.68,healthcare,healthcare
BHARATGEAR,smallcap,172.51,auto ancillaries,auto
ACL,smallcap,500.86,cement - south india,building materials
WPIL,smallcap,4268.21,engineering - turnkey services,realty
INDRAMEDCO,smallcap,3444.61,healthcare,healthcare
DAMCAPITAL,smallcap,1040,finance & investments,financials
GENESYS,smallcap,1118.52,computers - software - medium / small,i.t
CEWATER,smallcap,532.72,engineering,industrials
DHANBANK,smallcap,1330.92,banks - private sector,bank
ITDC,smallcap,4649.56,hotels,services
SENORES,smallcap,4759.64,pharmaceuticals - indian - formulations,healthcare
INDOFARM,smallcap,609.44,diversified - medium / small,miscellaneous
STYRENIX,smallcap,3979.8,petrochemicals,energy
MODISONLTD,smallcap,1017.96,electric equipment,industrials
NSIL,smallcap,2881.9,finance & investments,financials
SETL,smallcap,2787.1,engineering,industrials
ORCHASP,smallcap,62.31,computers - software - medium / small,i.t
QUADFUTURE,smallcap,1280,cables - power,industrials
GOCLCORP,smallcap,1986.87,diversified - medium / small,miscellaneous
URAVIDEF,smallcap,0,indices,n/a
BLBLIMITED,smallcap,91.51,finance & investments,financials
PUNJABCHEM,smallcap,1171.77,pesticides / agrochemicals - indian,chemicals
MODTHREAD,smallcap,168.17,textiles - spinning - synthetic / blended,textiles
ULTRAMAR,smallcap,1159.24,dyes and pigments,chemicals
DENTA,smallcap,654.95,construction,realty
PRIMO,smallcap,551.33,chlor alkali / soda ash,chemicals
HBESD,smallcap,166.18,hotels,services
IZMO,smallcap,1238.6,computers - software - medium / small,i.t
MUKTAARTS,smallcap,144.68,entertainment / electronic media software,media
DSSL,smallcap,1914.26,computers - software - medium / small,i.t
JUBLCPL,smallcap,2691.99,chemicals,chemicals
WALCHANNAG,smallcap,1619.73,engineering,industrials
RAMCOIND,smallcap,2530.13,cement products,building materials
GMBREW,smallcap,2088.67,breweries & distilleries,fmcg
HEXT,smallcap,0,indices,n/a
TAJGVK,smallcap,2134.99,hotels,services
TECILCHEM,smallcap,22.51,chemicals,chemicals
MOSCHIP,smallcap,4231.72,computers - hardware,i.t
CEREBRAINT,smallcap,39.51,computers - hardware,i.t
KHAICHEM,smallcap,519.28,fertilizers,chemicals
SMARTLINK,smallcap,153.24,computers - hardware,i.t
VIPIND,smallcap,4519.38,moulded luggage,plastic products
FIBERWEB,smallcap,80.7,textiles - products,textiles
PRABHA,smallcap,2313.36,oil drilling / allied services,energy
BAJAJST,smallcap,803.5,engineering,industrials
PONNIERODE,smallcap,264.1,sugar,fmcg
BAGFILMS,smallcap,103.86,entertainment / electronic media software,media
TVSELECT,smallcap,905.66,computers - hardware,i.t
PALREDTEC,smallcap,58.35,trading,services
PRUDMOULI,smallcap,51.38,trading,fmcg
NDTV,smallcap,927.87,entertainment / electronic media software,media
LANCORHOL,smallcap,177.99,construction,realty
INFOMEDIA,smallcap,26.95,printing & stationery,miscellaneous
VIPCLOTHNG,smallcap,229.83,textiles - products,textiles
MORARJEE,smallcap,25.51,textiles - products,textiles
POCL,smallcap,4080.58,mining / minerals / metals,metals & mining
SHOPERSTOP,smallcap,4041.86,textiles - products,consumer discretionary
JAYSREETEA,smallcap,237.4,tea,fmcg
SPLIL,smallcap,88.02,trading,textiles
HTMEDIA,smallcap,515.59,entertainment / electronic media software,media
PROSTARM,smallcap,811.76,electric equipment,industrials
SCODATUBES,smallcap,736.16,steel - medium / small,metals & mining
VSTIND,smallcap,4331.46,cigarettes,fmcg
KMSUGAR,smallcap,246.01,sugar,fmcg
BLUSPRING,smallcap,1231.83,diversified - large,miscellaneous
KERNEX,smallcap,3032.33,electronics - components,consumer discretionary
SHIVATEX,smallcap,190.71,textiles - cotton/blended,textiles
DYNPRO,smallcap,319.97,dyes and pigments,chemicals
RCOM,smallcap,248.9,telecommunications - service provider,telecom-service
GILLANDERS,smallcap,195.45,tea,fmcg
SAMBHV,smallcap,3081.38,steel - medium / small,metals & mining
UTTAMSUGAR,smallcap,883.51,sugar,fmcg
INDBANK,smallcap,144.94,finance & investments,financials
TICL,smallcap,351.7,construction,realty
KOTIC,smallcap,1707.07,trading,services
ALLCARGO,smallcap,1331.53,miscellaneous,transportation
MONARCH,smallcap,2698.29,finance & investments,financials
HGM,smallcap,77.65,computers - software - medium / small,i.t
FEDDERSHOL,smallcap,717.85,finance & investments,financials
JHS,smallcap,75.78,personal care - indian,fmcg
GTLINFRA,smallcap,1831.7,transmisson line towers / equipment,telecom
GICHSGFIN,smallcap,809.49,finance - housing,financials
NIMBSPROJ,smallcap,406.2,construction,realty
SITINET,smallcap,30.52,entertainment / electronic media software,media
HUBTOWN,smallcap,2940.35,construction,realty
VIPULLTD,smallcap,125.45,construction,realty
ABCOTS,smallcap,481.07,textiles - cotton/blended,textiles
SAHLIBHFI,smallcap,255.48,finance & investments,financials
TFL,smallcap,67.79,finance & investments,financials
ORIENTALTL,smallcap,46.46,trading,services
AMDIND,smallcap,93.8,packaging,industrials
TCC,smallcap,1780.16,construction,realty
GROWWNIFTY,smallcap,0,indices,indices
MICEL,smallcap,1050.09,electronics - components,consumer discretionary
SIGIND,smallcap,144.54,trading,services
NELCAST,smallcap,1216.89,castings & forgings,industrials
GATEWAY,smallcap,2779.52,miscellaneous,transportation
JAICORPLTD,smallcap,2018.13,plastics products,plastic products
SELMC,smallcap,96.79,textiles - cotton/blended,textiles
TAKE,smallcap,452.97,miscellaneous,healthcare
INDOWIND,smallcap,156.17,power generation and supply,power & utilities
KRISHNADEF,smallcap,1715.55,steel - medium / small,aerospace & defence
KSCL,smallcap,4407.3,miscellaneous,fmcg
VERANDA,smallcap,2253.16,miscellaneous,services
BRIGHOTEL,smallcap,2327.68,hotels,services
SHANTIGOLD,smallcap,1662.68,diamond cutting / jewellery,consumer discretionary
KOLTEPATIL,smallcap,3253.67,construction,realty
MANAKSIA,smallcap,382.72,trading,services
KOHINOOR,smallcap,92.94,food - processing - indian,fmcg
KUANTUM,smallcap,650.81,paper,building materials
CORDSCABLE,smallcap,288.34,cables - power,industrials
BANG,smallcap,52.87,trading,textiles
NAHARCAP,smallcap,434.14,finance & investments,financials
KIRIINDUS,smallcap,2557.19,dyes and pigments,chemicals
MBEL,smallcap,1687.3,construction,realty
SBCL,smallcap,4231.32,mining / minerals / metals,metals & mining
