symbol,marketcapname_x,market_cap_x,industry_x,sector_x,ok,error,best_short_ma,best_long_ma,optimization_score,total_return_pct,total_trades,winning_trades,losing_trades,win_rate,total_wins_pct,total_losses_pct,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,profit_factor,expected_value_pct,avg_mfe_pct,avg_mae_pct,mfe_mae_ratio,sharpe_ratio,sortino_ratio,max_drawdown_pct,annualized_return_pct,buy_hold_return_pct,strategy_return_pct,outperformance_pct,avg_holding_days,max_holding_days,min_holding_days,max_consecutive_wins,max_consecutive_losses,marketcapname_y,market_cap_y,industry_y,sector_y,signal,signal_date,last_close
TRIGYN,smallcap,180.34,computers - software - medium / small,i.t,True,,5,20,775.25,768.91,177.0,73.0,104.0,41.24,1287.57,794.15,17.64,7.64,120.89,26.08,1.62,2.79,16.31,-5.79,2.81,0.42,0.56,73.49,9.46,51.13,768.91,717.78,21.97,108.0,1.0,6.0,5.0,smallcap,180.34,computers - software - medium / small,i.t,sell,2026-06-25T00:00:00,52.17
MARALOVER,smallcap,239.5,textiles - cotton/blended,textiles,True,,5,20,1028.15,1021.39,167.0,72.0,95.0,43.11,988.89,580.04,13.73,6.11,96.23,24.93,1.7,2.45,14.5,-4.63,3.13,0.45,0.58,72.4,10.63,192.58,1021.39,828.81,24.16,102.0,1.0,8.0,10.0,smallcap,239.5,textiles - cotton/blended,textiles,sell,2026-06-25T00:00:00,54.87
NAGREEKEXP,smallcap,85.53,textiles - cotton/blended,textiles,True,,5,30,423.63,417.6,108.0,40.0,68.0,37.04,740.22,445.77,18.51,6.56,89.71,22.7,1.66,2.73,19.44,-5.58,3.49,0.4,0.54,66.77,8.37,65.99,417.6,351.62,32.3,118.0,1.0,4.0,6.0,smallcap,85.53,textiles - cotton/blended,textiles,sell,2026-06-25T00:00:00,26.55
ARTNIRMAN,smallcap,107.19,construction,realty,True,,5,20,786.37,772.78,43.0,16.0,27.0,37.21,557.34,124.8,34.83,4.62,318.62,24.24,4.47,10.06,23.83,-3.41,7.0,0.91,0.78,41.81,26.48,64.73,772.78,708.05,24.79,161.0,1.0,3.0,5.0,smallcap,107.19,construction,realty,buy,2026-06-25T00:00:00,42.09
MCL,smallcap,167.17,mining / minerals / metals,metals & mining,True,,30,40,218.53,210.48,33.0,12.0,21.0,36.36,347.49,122.95,28.96,5.85,201.45,24.33,2.83,6.8,21.73,-5.87,3.7,0.54,0.64,54.72,13.07,410.86,210.48,-200.38,40.73,229.0,2.0,3.0,4.0,smallcap,167.17,mining / minerals / metals,metals & mining,sell,2026-06-25T00:00:00,57.24
AURIGROW,smallcap,45.76,cables - power,industrials,True,,5,40,968.58,953.89,31.0,12.0,19.0,38.71,858.73,143.45,71.56,7.55,610.09,32.14,5.99,23.07,52.82,-6.21,8.5,0.98,1.14,57.9,34.08,-75.43,953.89,1029.32,39.84,174.0,2.0,3.0,4.0,smallcap,45.76,cables - power,industrials,sell,2026-06-25T00:00:00,0.31
SAKSOFT,smallcap,1956.85,computers - software - medium / small,i.t,True,,5,20,8742.85,8738.16,157.0,61.0,96.0,38.85,1236.19,543.65,20.27,5.66,114.41,23.35,2.27,4.41,21.61,-4.36,4.96,0.31,1.64,93.56,23.7,2330.79,8738.16,6407.37,23.45,111.0,1.0,5.0,8.0,smallcap,1956.85,computers - software - medium / small,i.t,buy,2026-06-25T00:00:00,160.45
INTERARCH,smallcap,2906.56,steel - medium / small,metals & mining,True,,10,40,67.11,53.37,4.0,3.0,1.0,75.0,66.67,13.07,22.22,13.07,47.99,13.07,5.1,13.4,26.91,-5.22,5.15,0.92,1.0,25.99,27.26,48.36,53.37,5.01,63.0,128.0,35.0,3.0,1.0,smallcap,2906.56,steel - medium / small,metals & mining,buy,2026-06-25T00:00:00,1925.2
KESORAMIND,smallcap,372.18,miscellaneous,miscellaneous,True,,5,20,160254.64,160242.36,215.0,83.0,132.0,38.6,1731.88,639.86,20.87,4.85,168.67,22.23,2.71,5.08,16.56,-4.08,4.06,0.82,1.04,55.41,27.45,-38.87,160242.36,160281.23,25.52,112.0,1.0,5.0,8.0,smallcap,372.18,miscellaneous,miscellaneous,sell,2026-06-25T00:00:00,11.13
AARTISURF,smallcap,321.88,chemicals,chemicals,True,,10,30,124.25,115.58,24.0,8.0,16.0,33.33,187.34,71.96,23.42,4.5,94.61,11.75,2.6,4.81,17.38,-3.79,4.58,0.58,0.73,43.29,13.93,-21.16,115.58,136.74,35.58,90.0,1.0,1.0,5.0,smallcap,321.88,chemicals,chemicals,buy,2026-06-25T00:00:00,373.75
SHREERAMA,smallcap,616.89,packaging,industrials,True,,5,20,511.82,506.23,196.0,68.0,128.0,34.69,1338.62,909.2,19.69,7.1,84.4,22.33,1.47,2.19,16.17,-5.64,2.87,0.37,0.47,83.31,7.12,-53.25,506.23,559.48,20.77,102.0,1.0,7.0,8.0,smallcap,616.89,packaging,industrials,sell,2026-06-25T00:00:00,42.4
ARIS,smallcap,945.65,trading,services,True,,10,30,5.73,2.21,4.0,2.0,2.0,50.0,15.21,12.03,7.61,6.02,8.55,8.3,1.26,0.79,14.89,-3.83,3.89,0.24,0.28,26.0,2.34,-34.69,2.21,36.9,34.75,67.0,5.0,1.0,2.0,smallcap,945.65,trading,services,buy,2026-06-25T00:00:00,114.24
IGCL,smallcap,366.45,pesticides / agrochemicals - indian,chemicals,True,,10,40,4.06,1.42,4.0,2.0,2.0,50.0,10.07,8.15,5.04,4.08,7.9,5.47,1.24,0.48,6.04,-2.26,2.67,0.18,0.14,13.94,1.54,-48.77,1.42,50.19,15.5,39.0,3.0,1.0,2.0,smallcap,366.45,pesticides / agrochemicals - indian,chemicals,buy,2026-06-25T00:00:00,59.39
SAMBHAAV,smallcap,126.52,entertainment / electronic media software,media,True,,10,20,1935.35,1927.87,154.0,54.0,100.0,35.06,1466.77,794.23,27.16,7.94,144.05,28.75,1.85,4.37,20.14,-7.11,2.83,0.5,0.49,84.31,13.4,10816.67,1927.87,-8888.8,25.08,120.0,1.0,6.0,9.0,smallcap,126.52,entertainment / electronic media software,media,buy,2026-06-25T00:00:00,6.51
MUTHOOTCAP,smallcap,326.6,finance & investments,financials,True,,10,80,332.83,324.39,22.0,9.0,13.0,40.91,431.31,95.98,47.92,7.38,310.73,19.0,4.49,15.24,37.4,-7.07,5.29,0.56,0.68,50.49,14.35,50.63,324.39,273.76,86.95,591.0,3.0,3.0,5.0,smallcap,326.6,finance & investments,financials,buy,2026-06-25T00:00:00,202.68
INSECTICID,smallcap,2123.56,pesticides / agrochemicals - indian,chemicals,True,,15,60,7024.3,7011.3,41.0,19.0,22.0,46.34,892.67,182.51,46.98,8.3,235.47,22.0,4.89,17.32,33.82,-7.1,4.76,0.87,1.08,64.83,25.14,1607.54,7011.3,5403.76,95.98,319.0,12.0,4.0,4.0,smallcap,2123.56,pesticides / agrochemicals - indian,chemicals,sell,2026-06-25T00:00:00,658.6
BALKRISHNA,smallcap,58.67,trading,services,True,,50,170,85.77,80.81,10.0,5.0,5.0,50.0,156.57,62.14,31.31,12.43,80.36,26.05,2.52,9.44,42.13,-10.0,4.21,0.33,0.39,52.63,5.61,-69.87,80.81,150.68,160.8,463.0,10.0,3.0,2.0,smallcap,58.67,trading,services,buy,2026-06-25T00:00:00,18.45
VINNY,smallcap,50.25,textiles - processing,textiles,True,,45,60,247.64,237.22,18.0,5.0,13.0,27.78,321.15,68.54,64.23,5.27,231.82,20.0,4.69,14.03,48.18,-5.26,9.16,0.69,0.53,59.18,17.32,-36.46,237.22,273.68,59.89,209.0,6.0,3.0,7.0,smallcap,50.25,textiles - processing,textiles,sell,2026-06-25T00:00:00,1.18
BANSALWIRE,smallcap,4844.62,steel - medium / small,metals & mining,True,,10,20,16.32,10.91,12.0,5.0,7.0,41.67,33.9,21.11,6.78,3.02,15.82,9.68,1.61,1.07,6.89,-3.14,2.19,0.36,0.41,23.29,5.6,-12.79,10.91,23.7,22.92,52.0,1.0,2.0,5.0,smallcap,4844.62,steel - medium / small,metals & mining,buy,2026-06-25T00:00:00,314.9
INTENTECH,smallcap,225.57,computers - software - medium / small,i.t,True,,40,60,411.48,401.83,22.0,11.0,11.0,50.0,326.25,96.67,29.66,8.79,97.65,17.32,3.38,10.44,34.07,-7.35,4.63,0.64,0.88,61.89,19.16,-44.31,401.83,446.14,60.77,165.0,4.0,4.0,5.0,smallcap,225.57,computers - software - medium / small,i.t,sell,2026-06-25T00:00:00,100.26
DONEAR,smallcap,485.37,textiles - processing,textiles,True,,5,20,231.96,226.73,144.0,40.0,104.0,27.78,815.7,529.69,20.39,5.09,113.33,17.63,1.54,1.99,12.65,-4.55,2.78,0.35,0.44,69.82,6.27,-50.61,226.73,277.33,21.54,99.0,1.0,6.0,14.0,smallcap,485.37,textiles - processing,textiles,sell,2026-06-25T00:00:00,90.58
TIJARIA,smallcap,12.48,plastics products,plastic products,True,,5,20,85.11,80.51,111.0,34.0,77.0,30.63,803.61,565.94,23.64,7.35,95.45,28.06,1.42,2.14,15.72,-5.86,2.68,0.31,0.36,78.28,4.12,-76.45,80.51,156.96,20.6,76.0,1.0,4.0,9.0,smallcap,12.48,plastics products,plastic products,sell,2026-06-25T00:00:00,4.25
IMAGICAA,smallcap,2531.1,recreation / amusement parks,media,True,,5,190,530.2,525.51,11.0,2.0,9.0,18.18,797.06,66.42,398.53,7.38,744.04,24.9,12.0,66.42,505.64,-7.79,64.92,0.31,5.18,98.05,17.85,-77.39,525.51,602.91,133.45,1001.0,2.0,1.0,7.0,smallcap,2531.1,recreation / amusement parks,media,buy,2026-06-25T00:00:00,49.18
SAGARDEEP,smallcap,43.74,mining / minerals / metals,metals & mining,True,,5,20,989.82,974.27,54.0,20.0,34.0,37.04,599.93,195.43,30.0,5.75,196.84,19.79,3.07,7.49,18.19,-3.97,4.59,1.04,1.1,70.92,30.59,75.71,974.27,898.55,26.19,147.0,1.0,4.0,7.0,smallcap,43.74,mining / minerals / metals,metals & mining,buy,2026-06-25T00:00:00,24.94
AGROPHOS,smallcap,63.17,fertilizers,chemicals,True,,20,30,652.85,642.12,40.0,20.0,20.0,50.0,435.56,138.81,21.78,6.94,115.81,29.25,3.14,7.42,24.95,-6.87,3.63,0.72,0.91,69.76,24.27,54.21,642.12,587.91,43.9,196.0,1.0,5.0,4.0,smallcap,63.17,fertilizers,chemicals,sell,2026-06-25T00:00:00,30.32
DGCONTENT,smallcap,157.34,entertainment / electronic media software,media,True,,5,30,393.81,382.1,34.0,15.0,19.0,44.12,328.94,118.15,21.93,6.22,67.27,17.96,2.78,6.2,24.2,-4.99,4.85,0.78,1.07,49.86,25.34,85.26,382.1,296.84,35.03,94.0,3.0,5.0,4.0,smallcap,157.34,entertainment / electronic media software,media,buy,2026-06-25T00:00:00,27.73
SAMBHV,smallcap,3081.38,steel - medium / small,metals & mining,True,,30,80,35.56,21.27,1.0,1.0,0.0,100.0,21.27,0.0,21.27,0.0,21.27,0.0,,21.27,48.64,0.0,,0.95,0.67,21.05,23.17,8.32,21.27,12.95,81.0,81.0,81.0,1.0,0.0,smallcap,3081.38,steel - medium / small,metals & mining,sell,2026-06-25T00:00:00,110.69
KSCL,smallcap,4407.3,miscellaneous,fmcg,True,,5,40,3248.13,3236.13,82.0,33.0,49.0,40.24,681.16,219.63,20.64,4.48,82.52,10.0,3.1,5.63,15.33,-3.67,4.18,0.8,0.99,38.4,20.67,2044.82,3236.13,1191.31,45.94,163.0,1.0,6.0,8.0,smallcap,4407.3,miscellaneous,fmcg,buy,2026-06-25T00:00:00,925.6
HERANBA,smallcap,713.88,pesticides / agrochemicals - indian,chemicals,True,,45,60,31.16,26.63,16.0,8.0,8.0,50.0,104.05,56.3,13.01,7.04,77.1,16.29,1.85,2.98,10.59,-5.98,1.77,0.3,0.33,31.93,4.6,-78.05,26.63,104.68,41.25,156.0,1.0,2.0,2.0,smallcap,713.88,pesticides / agrochemicals - indian,chemicals,sell,2026-06-25T00:00:00,187.04
AFSL,smallcap,1019.36,finance & investments,financials,True,,5,20,50.11,42.59,25.0,5.0,20.0,20.0,115.72,65.7,23.14,3.29,31.55,12.22,1.76,2.0,9.21,-2.96,3.11,0.5,0.48,27.73,10.83,-7.95,42.59,50.54,22.36,93.0,1.0,1.0,8.0,smallcap,1019.36,finance & investments,financials,sell,2026-06-25T00:00:00,201.0
BHARATSE,smallcap,1158.85,auto ancillaries,auto,True,,10,20,129.94,106.08,7.0,6.0,1.0,85.71,89.94,3.49,14.99,3.49,59.71,3.49,25.79,12.35,22.4,-2.09,10.73,1.59,2.47,19.71,83.01,121.07,106.08,-14.99,31.14,59.0,7.0,4.0,1.0,smallcap,1158.85,auto ancillaries,auto,buy,2026-06-25T00:00:00,186.61
IOLCP,smallcap,3857.54,pharmaceuticals - indian - bulk drugs & formln,healthcare,True,,10,20,2263.28,2252.11,102.0,34.0,68.0,33.33,857.39,355.47,25.22,5.23,112.59,26.13,2.41,4.92,14.96,-4.83,3.1,0.74,0.83,47.29,22.48,1194.15,2252.11,1057.95,27.09,148.0,1.0,3.0,7.0,smallcap,3857.54,pharmaceuticals - indian - bulk drugs & formln,healthcare,buy,2026-06-25T00:00:00,133.66
GLOBAL,smallcap,523.78,miscellaneous,services,True,,15,40,4258.52,4239.16,30.0,14.0,16.0,46.67,922.77,85.58,65.91,5.35,517.34,12.96,10.78,27.91,48.5,-4.44,10.91,1.29,1.52,40.14,50.49,1361.48,4239.16,2877.68,52.57,228.0,1.0,3.0,3.0,smallcap,523.78,miscellaneous,services,sell,2026-06-25T00:00:00,106.02
ARENTERP,smallcap,11.86,trading,metals & mining,True,,10,20,835.56,823.29,47.0,23.0,24.0,48.94,488.8,165.06,21.25,6.88,101.19,22.6,2.96,6.89,23.54,-5.69,4.14,0.82,1.12,61.78,29.59,110.25,823.29,713.03,27.28,116.0,1.0,9.0,5.0,smallcap,11.86,trading,metals & mining,buy,2026-06-25T00:00:00,37.18
AXISCADES,midcap,7152.28,computers - software - medium / small,aerospace & defence,True,,5,20,21763.59,21752.65,175.0,69.0,106.0,39.43,1566.25,694.25,22.7,6.55,186.71,18.66,2.26,4.98,18.77,-4.86,3.86,0.73,1.05,79.32,25.25,3572.0,21752.65,18180.65,22.83,105.0,1.0,4.0,8.0,midcap,7152.28,computers - software - medium / small,aerospace & defence,sell,2026-06-25T00:00:00,1691.0
CROMPTON,midcap,17607.85,electric equipment,consumer discretionary,True,,5,50,179.16,170.49,33.0,11.0,22.0,33.33,236.99,93.46,21.54,4.25,79.08,8.47,2.54,4.35,13.09,-3.44,3.81,0.58,0.75,34.6,10.4,111.68,170.49,58.81,53.0,273.0,1.0,2.0,9.0,midcap,17607.85,electric equipment,consumer discretionary,sell,2026-06-25T00:00:00,275.3
TATACHEM,midcap,18803.56,chemicals,chemicals,True,,5,20,10148.56,10138.23,225.0,100.0,125.0,44.44,1145.68,538.6,11.46,4.31,85.07,18.93,2.13,2.7,10.0,-2.94,3.4,0.69,0.81,58.67,16.43,9260.08,10138.23,878.15,26.67,112.0,1.0,8.0,7.0,midcap,18803.56,chemicals,chemicals,sell,2026-06-19T00:00:00,729.5
JKPAPER,midcap,6561.02,paper,building materials,True,,15,130,1614.54,1605.57,25.0,12.0,13.0,48.0,588.87,89.18,49.07,6.86,251.64,12.96,6.6,19.99,45.61,-6.11,7.47,0.6,0.68,42.95,14.48,1100.77,1605.57,504.8,155.92,591.0,2.0,5.0,5.0,midcap,6561.02,paper,building materials,sell,2026-06-25T00:00:00,341.9
SKFINDUS,midcap,10739.41,bearings,industrials,True,,40,50,42.9,11.87,1.0,1.0,0.0,100.0,11.87,0.0,11.87,0.0,11.87,0.0,,11.87,11.87,-0.63,18.85,2.07,0.0,0.77,25.71,-10.27,11.87,22.14,9.0,9.0,9.0,1.0,0.0,midcap,10739.41,bearings,industrials,buy,2026-06-25T00:00:00,2906.0
KIRLFER,midcap,7113.9,steel - large,metals & mining,True,,20,60,741.51,716.76,5.0,2.0,3.0,40.0,451.88,8.38,225.94,2.79,357.52,3.03,53.91,88.7,127.07,-4.21,30.22,1.65,2.45,31.63,37.73,633.92,716.76,82.84,178.8,461.0,18.0,1.0,2.0,midcap,7113.9,steel - large,metals & mining,buy,2026-06-25T00:00:00,489.65
SANOFICONR,midcap,10757.37,pharmaceuticals - multinational,healthcare,True,,20,30,31.12,21.93,10.0,6.0,4.0,60.0,32.43,10.6,5.4,2.65,17.87,4.33,3.06,2.18,5.21,-2.78,1.87,0.61,0.86,12.56,12.18,-1.73,21.93,23.66,31.6,110.0,3.0,3.0,2.0,midcap,10757.37,pharmaceuticals - multinational,healthcare,buy,2026-06-25T00:00:00,4618.1
CSBBANK,midcap,6396.42,banks - private sector,bank,True,,10,30,295.71,282.54,25.0,13.0,12.0,52.0,229.45,54.08,17.65,4.51,97.3,10.29,4.24,7.01,16.22,-3.12,5.19,0.88,1.04,35.68,22.92,20.66,282.54,261.88,50.76,143.0,1.0,5.0,3.0,midcap,6396.42,banks - private sector,bank,sell,2026-06-25T00:00:00,324.6
COHANCE,midcap,16408.3,pharmaceuticals - indian - bulk drugs & formln,healthcare,True,,10,20,476.7,461.3,35.0,15.0,20.0,42.86,351.08,94.94,23.41,4.75,124.81,13.8,3.7,7.32,14.43,-3.74,3.86,1.03,1.4,38.0,31.85,162.56,461.3,298.74,34.06,138.0,1.0,3.0,6.0,midcap,16408.3,pharmaceuticals - indian - bulk drugs & formln,healthcare,buy,2026-06-25T00:00:00,458.05
IMFA,midcap,7885.39,mining / minerals / metals,metals & mining,True,,10,70,2765.94,2754.31,34.0,11.0,23.0,32.35,976.03,204.73,88.73,8.9,397.17,20.31,4.77,22.69,48.21,-7.58,6.36,0.78,0.99,60.17,23.52,494.78,2754.31,2259.53,83.88,398.0,1.0,2.0,5.0,midcap,7885.39,mining / minerals / metals,metals & mining,sell,2026-06-25T00:00:00,1327.0
JUBLPHARMA,midcap,15530.71,pharmaceuticals - indian - bulk drugs,healthcare,True,,25,40,249910.54,249902.59,80.0,40.0,40.0,50.0,1607.3,220.46,40.18,5.51,411.5,17.19,7.29,17.34,30.1,-5.04,5.97,0.53,2.12,49.54,38.68,93239.21,249902.59,156663.37,58.7,221.0,1.0,8.0,6.0,midcap,15530.71,pharmaceuticals - indian - bulk drugs,healthcare,sell,2026-06-25T00:00:00,964.4
MEESHO,largecap,80961.78,miscellaneous,i.t,True,,10,20,35.24,18.8,2.0,1.0,1.0,50.0,35.74,12.48,35.74,12.48,35.74,12.48,2.86,11.63,24.02,-6.24,3.85,1.1,1.11,16.2,42.69,-2.43,18.8,21.23,31.0,50.0,12.0,1.0,1.0,largecap,80961.78,miscellaneous,i.t,buy,2026-06-25T00:00:00,186.45
ENDURANCE,largecap,37801.73,auto ancillaries,auto,True,,10,20,951.65,934.99,56.0,29.0,27.0,51.79,367.11,89.67,12.66,3.32,41.5,10.58,4.09,4.95,11.0,-2.89,3.8,1.11,1.48,27.17,27.48,309.7,934.99,625.29,35.02,116.0,1.0,4.0,4.0,largecap,37801.73,auto ancillaries,auto,buy,2026-06-25T00:00:00,2699.2
MFSL,largecap,55059.61,miscellaneous,miscellaneous,True,,30,50,2069.6,2064.7,78.0,32.0,46.0,41.03,1113.4,419.02,34.79,9.11,359.02,46.68,2.66,8.9,28.73,-8.58,3.35,0.33,0.62,82.6,10.63,3979.71,2064.7,-1915.01,73.08,217.0,8.0,3.0,8.0,largecap,55059.61,miscellaneous,miscellaneous,buy,2026-06-25T00:00:00,1611.4
GLAND,largecap,37515.04,pharmaceuticals - indian - formulations,healthcare,True,,5,20,179.66,167.67,33.0,14.0,19.0,42.42,219.02,87.81,15.64,4.62,62.89,13.22,2.49,3.98,10.67,-3.37,3.16,0.8,1.04,40.7,19.45,27.39,167.67,140.29,29.12,104.0,1.0,3.0,5.0,largecap,37515.04,pharmaceuticals - indian - formulations,healthcare,buy,2026-06-25T00:00:00,2314.8
VOLTAS,largecap,41042.94,air-conditioners,consumer discretionary,True,,5,50,1745062.11,1745056.2,82.0,39.0,43.0,47.56,2748.96,218.0,70.49,5.07,1160.53,13.13,12.61,30.87,46.07,-3.72,12.4,0.39,3.31,46.11,50.41,1006434.65,1745056.2,738621.55,64.32,295.0,1.0,7.0,7.0,largecap,41042.94,air-conditioners,consumer discretionary,sell,2026-06-25T00:00:00,1302.4
